Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Linear (sigma=5),10,-2.59,2.45,51.0,9.8,12.79,1.51
Gaussian (p=2;l=2),1,--,--,--,--,--,--
Gaussian (p=2;l=2),2,--,--,--,--,--,--
Gaussian (p=2;l=2),3,--,--,--,--,--,--
Gaussian (p=2;l=2),4,--,--,--,--,--,--
Gaussian (p=2;l=2),5,--,--,--,--,--,--
Gaussian (p=2;l=2),6,--,--,--,--,--,--
Gaussian (p=2;l=2),7,--,--,--,--,--,--
Gaussian (p=2;l=2),8,--,--,--,--,--,--
Gaussian (p=2;l=2),9,--,--,--,--,--,--
Gaussian (p=2;l=2),10,--,--,--,--,--,--
Gaussian (p=3;l=2),1,--,--,--,--,--,--
Gaussian (p=3;l=2),2,--,--,--,--,--,--
Gaussian (p=3;l=2),3,--,--,--,--,--,--
Gaussian (p=3;l=2),4,--,--,--,--,--,--
Gaussian (p=3;l=2),5,--,--,--,--,--,--
Gaussian (p=3;l=2),6,--,--,--,--,--,--
Gaussian (p=3;l=2),7,--,--,--,--,--,--
Gaussian (p=3;l=2),8,--,--,--,--,--,--
Gaussian (p=3;l=2),9,--,--,--,--,--,--
Gaussian (p=3;l=2),10,--,--,--,--,--,--
Gaussian (p=4;l=2),1,--,--,--,--,--,--
Gaussian (p=4;l=2),2,--,--,--,--,--,--
Gaussian (p=4;l=2),3,--,--,--,--,--,--
Gaussian (p=4;l=2),4,--,--,--,--,--,--
Gaussian (p=4;l=2),5,--,--,--,--,--,--
Gaussian (p=4;l=2),6,--,--,--,--,--,--
Gaussian (p=4;l=2),7,--,--,--,--,--,--
Gaussian (p=4;l=2),8,--,--,--,--,--,--
Gaussian (p=4;l=2),9,--,--,--,--,--,--
Gaussian (p=4;l=2),10,--,--,--,--,--,--
Gaussian (p=5;l=2),1,-8.58,1.95,31.0,9.06,14.78,1.37
Gaussian (p=5;l=2),2,-7.82,2.13,27.0,8.7,13.22,1.39
Gaussian (p=5;l=2),3,-4.32,2.18,39.0,9.56,12.12,1.42
Gaussian (p=5;l=2),4,-5.12,2.27,42.0,9.67,13.52,1.35
Gaussian (p=5;l=2),5,-2.59,2.24,45.0,9.75,11.59,1.3
Gaussian (p=5;l=2),6,-3.79,2.27,40.0,9.6,11.79,1.32
Gaussian (p=5;l=2),7,-3.73,2.33,39.0,9.56,11.53,1.23
Gaussian (p=5;l=2),8,-4.2,2.04,38.0,9.51,11.8,1.19
Gaussian (p=5;l=2),9,-4.38,2.3,35.0,9.35,11.38,1.3
Gaussian (p=5;l=2),10,-2.29,2.32,44.0,9.73,11.09,1.22
Gaussian (p=2;l=3),1,-1.8,2.53,52.0,9.79,12.2,1.56
Gaussian (p=2;l=3),2,-2.02,2.13,58.0,9.67,13.62,1.3
Gaussian (p=2;l=3),3,-1.33,2.12,49.0,9.8,11.13,1.21
Gaussian (p=2;l=3),4,3.05,1.94,67.0,9.22,10.35,1.02
Gaussian (p=2;l=3),5,-0.75,2.27,50.0,9.8,10.75,1.22
Gaussian (p=2;l=3),6,-0.36,2.21,54.0,9.77,11.16,1.31
Gaussian (p=2;l=3),7,1.33,2.0,57.0,9.7,10.07,1.01
Gaussian (p=2;l=3),8,0.0,2.34,57.0,9.7,11.4,1.23
Gaussian (p=2;l=3),9,0.28,2.1,55.0,9.75,10.72,1.14
Gaussian (p=2;l=3),10,2.42,1.91,61.0,9.56,9.78,0.91
Gaussian (p=3;l=3),1,-6.57,2.37,42.0,9.67,14.97,1.62
Gaussian (p=3;l=3),2,-7.15,2.34,34.0,9.28,13.95,1.46
Gaussian (p=3;l=3),3,-7.0,2.22,38.0,9.51,14.6,1.62
Gaussian (p=3;l=3),4,-6.57,1.95,29.0,8.89,12.37,1.26
Gaussian (p=3;l=3),5,-7.22,2.17,32.0,9.14,13.62,1.59
Gaussian (p=3;l=3),6,-7.3,2.26,38.0,9.51,14.9,1.5
Gaussian (p=3;l=3),7,-7.11,2.2,29.0,8.89,12.91,1.5
Gaussian (p=3;l=3),8,-9.55,2.21,25.0,8.49,14.55,1.58
Gaussian (p=3;l=3),9,-7.81,2.1,25.0,8.49,12.81,1.56
Gaussian (p=3;l=3),10,-8.05,2.39,32.0,9.14,14.45,1.48
Gaussian (p=4;l=3),1,--,--,--,--,--,--
Gaussian (p=4;l=3),2,--,--,--,--,--,--
Gaussian (p=4;l=3),3,--,--,--,--,--,--
Gaussian (p=4;l=3),4,--,--,--,--,--,--
Gaussian (p=4;l=3),5,--,--,--,--,--,--
Gaussian (p=4;l=3),6,--,--,--,--,--,--
Gaussian (p=4;l=3),7,--,--,--,--,--,--
Gaussian (p=4;l=3),8,--,--,--,--,--,--
Gaussian (p=4;l=3),9,--,--,--,--,--,--
Gaussian (p=4;l=3),10,--,--,--,--,--,--
Gaussian (p=5;l=3),1,--,--,--,--,--,--
Gaussian (p=5;l=3),2,--,--,--,--,--,--
Gaussian (p=5;l=3),3,--,--,--,--,--,--
Gaussian (p=5;l=3),4,--,--,--,--,--,--
Gaussian (p=5;l=3),5,--,--,--,--,--,--
Gaussian (p=5;l=3),6,--,--,--,--,--,--
Gaussian (p=5;l=3),7,--,--,--,--,--,--
Gaussian (p=5;l=3),8,--,--,--,--,--,--
Gaussian (p=5;l=3),9,--,--,--,--,--,--
Gaussian (p=5;l=3),10,--,--,--,--,--,--
Gaussian (p=2;l=4),1,-8.16,1.81,16.0,7.19,11.36,1.23
Gaussian (p=2;l=4),2,-9.42,1.76,16.0,7.19,12.62,1.28
Gaussian (p=2;l=4),3,-4.85,2.06,31.0,9.06,11.05,1.22
Gaussian (p=2;l=4),4,-6.02,1.93,24.0,8.37,10.82,1.11
Gaussian (p=2;l=4),5,-1.9,1.93,32.0,9.14,8.3,0.85
Gaussian (p=2;l=4),6,-2.86,2.01,30.0,8.98,8.86,0.78
Gaussian (p=2;l=4),7,-1.43,2.0,33.0,9.22,8.03,0.73
Gaussian (p=2;l=4),8,-1.69,2.09,35.0,9.35,8.69,0.84
Gaussian (p=2;l=4),9,-1.6,1.98,38.0,9.51,9.2,0.88
Gaussian (p=2;l=4),10,-1.87,1.94,31.0,9.06,8.07,0.84
Gaussian (p=3;l=4),1,--,--,--,--,--,--
Gaussian (p=3;l=4),2,--,--,--,--,--,--
Gaussian (p=3;l=4),3,--,--,--,--,--,--
Gaussian (p=3;l=4),4,--,--,--,--,--,--
Gaussian (p=3;l=4),5,--,--,--,--,--,--
Gaussian (p=3;l=4),6,--,--,--,--,--,--
Gaussian (p=3;l=4),7,--,--,--,--,--,--
Gaussian (p=3;l=4),8,--,--,--,--,--,--
Gaussian (p=3;l=4),9,--,--,--,--,--,--
Gaussian (p=3;l=4),10,--,--,--,--,--,--
Gaussian (p=4;l=4),1,-7.23,1.92,27.0,8.7,12.63,1.46
Gaussian (p=4;l=4),2,-5.48,2.2,43.0,9.7,14.08,1.43
Gaussian (p=4;l=4),3,-6.99,2.17,34.0,9.28,13.79,1.52
Gaussian (p=4;l=4),4,-5.58,2.14,36.0,9.41,12.78,1.53
Gaussian (p=4;l=4),5,-4.93,2.07,41.0,9.64,13.13,1.54
Gaussian (p=4;l=4),6,-7.13,2.19,31.0,9.06,13.33,1.53
Gaussian (p=4;l=4),7,-4.28,2.33,44.0,9.73,13.08,1.52
Gaussian (p=4;l=4),8,-5.63,1.96,40.0,9.6,13.63,1.42
Gaussian (p=4;l=4),9,-5.46,2.13,40.0,9.6,13.46,1.55
Gaussian (p=4;l=4),10,-5.04,2.15,44.0,9.73,13.84,1.34
Gaussian (p=5;l=4),1,--,--,--,--,--,--
Gaussian (p=5;l=4),2,--,--,--,--,--,--
Gaussian (p=5;l=4),3,--,--,--,--,--,--
Gaussian (p=5;l=4),4,--,--,--,--,--,--
Gaussian (p=5;l=4),5,--,--,--,--,--,--
Gaussian (p=5;l=4),6,--,--,--,--,--,--
Gaussian (p=5;l=4),7,--,--,--,--,--,--
Gaussian (p=5;l=4),8,--,--,--,--,--,--
Gaussian (p=5;l=4),9,--,--,--,--,--,--
Gaussian (p=5;l=4),10,--,--,--,--,--,--
Linear (sigma=5),1,--,--,--,--,--,--
Linear (sigma=5),2,--,--,--,--,--,--
Linear (sigma=5),3,--,--,--,--,--,--
Linear (sigma=5),4,--,--,--,--,--,--
Linear (sigma=5),5,--,--,--,--,--,--
Linear (sigma=5),6,--,--,--,--,--,--
Linear (sigma=5),7,--,--,--,--,--,--
Linear (sigma=5),8,--,--,--,--,--,--
Linear (sigma=5),9,--,--,--,--,--,--
Linear (sigma=5),10,--,--,--,--,--,--
Gaussian (p=2;l=2),1,-4.3,2.43,41.0,9.64,12.5,1.46
Gaussian (p=2;l=2),2,-5.99,2.47,36.0,9.41,13.19,1.61
Gaussian (p=2;l=2),3,-4.93,2.24,33.0,9.22,11.53,1.31
Gaussian (p=2;l=2),4,-4.25,2.24,31.0,9.06,10.45,1.21
Gaussian (p=2;l=2),5,-2.6,2.24,35.0,9.35,9.6,1.15
Gaussian (p=2;l=2),6,-2.68,2.35,46.0,9.77,11.88,1.28
Gaussian (p=2;l=2),7,-2.47,2.38,40.0,9.6,10.47,1.27
Gaussian (p=2;l=2),8,-6.83,2.42,31.0,9.06,13.03,1.46
Gaussian (p=2;l=2),9,-5.95,2.15,36.0,9.41,13.15,1.48
Gaussian (p=2;l=2),10,-1.83,2.16,42.0,9.67,10.23,1.3
Gaussian (p=3;l=2),1,--,--,--,--,--,--
Gaussian (p=3;l=2),2,--,--,--,--,--,--
Gaussian (p=3;l=2),3,--,--,--,--,--,--
Gaussian (p=3;l=2),4,--,--,--,--,--,--
Gaussian (p=3;l=2),5,--,--,--,--,--,--
Gaussian (p=3;l=2),6,--,--,--,--,--,--
Gaussian (p=3;l=2),7,--,--,--,--,--,--
Gaussian (p=3;l=2),8,--,--,--,--,--,--
Gaussian (p=3;l=2),9,--,--,--,--,--,--
Gaussian (p=3;l=2),10,--,--,--,--,--,--
Gaussian (p=4;l=2),1,--,--,--,--,--,--
Gaussian (p=4;l=2),2,--,--,--,--,--,--
Gaussian (p=4;l=2),3,--,--,--,--,--,--
Gaussian (p=4;l=2),4,--,--,--,--,--,--
Gaussian (p=4;l=2),5,--,--,--,--,--,--
Gaussian (p=4;l=2),6,--,--,--,--,--,--
Gaussian (p=4;l=2),7,--,--,--,--,--,--
Gaussian (p=4;l=2),8,--,--,--,--,--,--
Gaussian (p=4;l=2),9,--,--,--,--,--,--
Gaussian (p=4;l=2),10,--,--,--,--,--,--
Gaussian (p=5;l=2),1,--,--,--,--,--,--
Gaussian (p=5;l=2),2,--,--,--,--,--,--
Gaussian (p=5;l=2),3,--,--,--,--,--,--
Gaussian (p=5;l=2),4,--,--,--,--,--,--
Gaussian (p=5;l=2),5,--,--,--,--,--,--
Gaussian (p=5;l=2),6,--,--,--,--,--,--
Gaussian (p=5;l=2),7,--,--,--,--,--,--
Gaussian (p=5;l=2),8,--,--,--,--,--,--
Gaussian (p=5;l=2),9,--,--,--,--,--,--
Gaussian (p=5;l=2),10,--,--,--,--,--,--
Gaussian (p=2;l=3),1,--,--,--,--,--,--
Gaussian (p=2;l=3),2,--,--,--,--,--,--
Gaussian (p=2;l=3),3,--,--,--,--,--,--
Gaussian (p=2;l=3),4,--,--,--,--,--,--
Gaussian (p=2;l=3),5,--,--,--,--,--,--
Gaussian (p=2;l=3),6,--,--,--,--,--,--
Gaussian (p=2;l=3),7,--,--,--,--,--,--
Gaussian (p=2;l=3),8,--,--,--,--,--,--
Gaussian (p=2;l=3),9,--,--,--,--,--,--
Gaussian (p=2;l=3),10,--,--,--,--,--,--
Gaussian (p=3;l=3),1,-5.03,2.4,36.0,9.41,12.23,1.38
Gaussian (p=3;l=3),2,-3.94,2.11,39.0,9.56,11.74,1.15
Gaussian (p=3;l=3),3,-0.91,1.96,46.0,9.77,10.11,1.17
Gaussian (p=3;l=3),4,-2.09,2.24,39.0,9.56,9.89,1.14
Gaussian (p=3;l=3),5,-1.67,2.27,41.0,9.64,9.87,1.25
Gaussian (p=3;l=3),6,-0.94,2.29,53.0,9.78,11.54,1.26
Gaussian (p=3;l=3),7,-2.76,2.23,38.0,9.51,10.36,1.18
Gaussian (p=3;l=3),8,-1.61,2.06,40.0,9.6,9.61,1.07
Gaussian (p=3;l=3),9,-1.96,2.26,41.0,9.64,10.16,1.2
Gaussian (p=3;l=3),10,0.2,2.12,48.0,9.79,9.4,0.97
Gaussian (p=4;l=3),1,-5.36,2.59,42.0,9.67,13.76,1.53
Gaussian (p=4;l=3),2,-7.66,2.51,30.0,8.98,13.66,1.34
Gaussian (p=4;l=3),3,-6.03,2.55,40.0,9.6,14.03,1.68
Gaussian (p=4;l=3),4,-5.81,2.41,34.0,9.28,12.61,1.52
Gaussian (p=4;l=3),5,-5.38,2.26,34.0,9.28,12.18,1.39
Gaussian (p=4;l=3),6,-7.6,2.26,33.0,9.22,14.2,1.64
Gaussian (p=4;l=3),7,-3.57,2.16,42.0,9.67,11.97,1.4
Gaussian (p=4;l=3),8,-4.67,2.07,41.0,9.64,12.87,1.56
Gaussian (p=4;l=3),9,-7.27,1.91,26.0,8.6,12.47,1.57
Gaussian (p=4;l=3),10,-5.83,2.25,35.0,9.35,12.83,1.33
Gaussian (p=5;l=3),1,-6.26,2.09,37.0,9.46,13.66,1.6
Gaussian (p=5;l=3),2,-6.42,2.18,28.0,8.8,12.02,1.34
Gaussian (p=5;l=3),3,-5.32,2.14,48.0,9.79,14.92,1.54
Gaussian (p=5;l=3),4,-3.06,2.37,45.0,9.75,12.06,1.5
Gaussian (p=5;l=3),5,-4.29,2.25,40.0,9.6,12.29,1.5
Gaussian (p=5;l=3),6,-5.64,2.3,38.0,9.51,13.24,1.49
Gaussian (p=5;l=3),7,-6.34,2.26,39.0,9.56,14.14,1.46
Gaussian (p=5;l=3),8,-6.44,2.44,35.0,9.35,13.44,1.57
Gaussian (p=5;l=3),9,-7.48,2.19,35.0,9.35,14.48,1.52
Gaussian (p=5;l=3),10,-5.31,2.11,38.0,9.51,12.91,1.42
